"Name","CSVFiles","CSVRows","CustomNames"
"String","String","String","String"
"RED",,,"ProductRed"
"SHOP",,,"RumbleShop"
,,,"HolidayBundle"
,,,"ChineseNewYearBundle"
"CHALLENGE","csv_logic/survival_modes.csv","Gold",
,,"Bronze",
,,"BlindDeck",
,,"DoubleElixir",
,,"KingsCup",
,,"DraftMode",
,,"ThreeBridges",
,,"HeroChallenge",
,,"ElectroWiz",
"SHOP_CHEST","csv_logic/shop.csv","SuperMagicalOffer",
,,"LegendaryOffer",
,,"GiantOffer",
,,"MagicalOffer",
,,"EpicOffer",
"SHOP_SPELL_STACK","csv_logic/shop.csv","SpellStackOfferCommon",
,,"SpellStackOfferRare",
,,"SpellStackOfferEpic",
"FRIENDLY","csv_logic/game_modes.csv","BlindDeck",
,,"DoubleElixir_Friendly",
,,"DraftMode",
"SHOP_OFFER_DELAY",,,"ShopOfferDelay"
