"Name","IconSWF","IconExportName","GameMode","WinsIconExportName","Enabled","EventOnly","JoinCost","JoinCostResource","FreePass","MaxWins","MaxLoss","RewardCards","RewardGold","RewardSpellCount","RewardSpell","ItemExportName","ConfirmExportName","TID"
"string","String","String","String","String","boolean","boolean","int","string","int","int","int","int","int","int","String","String","String","string"
"Gold","sc/ui.sc","icon_tournament_gold","Challenge","tournament_open_wins_badge_gold","TRUE",,100,"Diamonds",,12,3,20,1400,,,"tournament_item_open","popup_tournament_open_confirm","TID_PUBLIC_TOURNAMENT_GOLD"
,,,,,,,,,,,,30,1900,,,,,
,,,,,,,,,,,,50,2500,,,,,
,,,,,,,,,,,,85,3200,,,,,
,,,,,,,,,,,,130,4000,,,,,
,,,,,,,,,,,,185,5000,,,,,
,,,,,,,,,,,,250,6200,,,,,
,,,,,,,,,,,,330,7600,,,,,
,,,,,,,,,,,,420,9300,,,,,
,,,,,,,,,,,,530,11500,,,,,
,,,,,,,,,,,,670,14200,,,,,
,,,,,,,,,,,,860,17500,,,,,
,,,,,,,,,,,,1100,22000,,,,,
"Bronze","sc/ui.sc","icon_tournament_bronze","Challenge","tournament_open_wins_badge_bronze","TRUE",,10,"Diamonds",,12,3,2,130,,,"tournament_item_open","popup_tournament_open_confirm","TID_PUBLIC_TOURNAMENT_BRONZE"
,,,,,,,,,,,,3,180,,,,,
,,,,,,,,,,,,5,240,,,,,
,,,,,,,,,,,,8,310,,,,,
,,,,,,,,,,,,12,390,,,,,
,,,,,,,,,,,,17,480,,,,,
,,,,,,,,,,,,23,590,,,,,
,,,,,,,,,,,,30,720,,,,,
,,,,,,,,,,,,38,880,,,,,
,,,,,,,,,,,,48,1080,,,,,
,,,,,,,,,,,,61,1330,,,,,
,,,,,,,,,,,,78,1630,,,,,
,,,,,,,,,,,,100,2000,,,,,
"KingsCup","sc/ui.sc","icon_tournament_blind_deck","BlindDeck","tournament_open_wins_badge_blind","TRUE","TRUE",5,"Diamonds",1,12,3,2,130,,,"tournament_item_kings_cup","popup_tournament_blind_challenge_confirm",
,,,,,,,,,,,,3,180,,,,,
,,,,,,,,,,,,5,240,,,,,
,,,,,,,,,,,,8,310,,,,,
,,,,,,,,,,,,12,390,,,,,
,,,,,,,,,,,,17,480,,,,,
,,,,,,,,,,,,23,590,,,,,
,,,,,,,,,,,,30,720,,,,,
,,,,,,,,,,,,38,880,,,,,
,,,,,,,,,,,,48,1080,,,,,
,,,,,,,,,,,,61,1330,,,,,
,,,,,,,,,,,,78,1630,,,,,
,,,,,,,,,,,,100,2000,,,,,
"DoubleElixir","sc/ui.sc","icon_tournament_2x_elixir","DoubleElixir","tournament_open_wins_badge_bronze","TRUE","TRUE",5,"Diamonds",1,12,3,2,130,,,"tournament_item_kings_cup","popup_tournament_2x_elixir_challenge_confirm",
,,,,,,,,,,,,3,180,,,,,
,,,,,,,,,,,,5,240,,,,,
,,,,,,,,,,,,8,310,,,,,
,,,,,,,,,,,,12,390,,,,,
,,,,,,,,,,,,17,480,,,,,
,,,,,,,,,,,,23,590,,,,,
,,,,,,,,,,,,30,720,,,,,
,,,,,,,,,,,,38,880,,,,,
,,,,,,,,,,,,48,1080,,,,,
,,,,,,,,,,,,61,1330,,,,,
,,,,,,,,,,,,78,1630,,,,,
,,,,,,,,,,,,100,2000,,,,,
"BlindDeck","sc/ui.sc","icon_tournament_blind_deck","BlindDeck","tournament_open_wins_badge_blind","TRUE","TRUE",5,"Diamonds",1,12,3,2,130,,,"tournament_item_kings_cup","popup_tournament_blind_challenge_confirm",
,,,,,,,,,,,,3,180,,,,,
,,,,,,,,,,,,5,240,,,,,
,,,,,,,,,,,,8,310,,,,,
,,,,,,,,,,,,12,390,,,,,
,,,,,,,,,,,,17,480,,,,,
,,,,,,,,,,,,23,590,,,,,
,,,,,,,,,,,,30,720,,,,,
,,,,,,,,,,,,38,880,,,,,
,,,,,,,,,,,,48,1080,,,,,
,,,,,,,,,,,,61,1330,,,,,
,,,,,,,,,,,,78,1630,,,,,
,,,,,,,,,,,,100,2000,,,,,
"DraftMode","sc/ui.sc","icon_tournament_draft","DraftMode","tournament_open_wins_badge_draft","TRUE","TRUE",5,"Diamonds",1,12,3,2,130,,,"tournament_item_kings_cup","popup_tournament_open_confirm",
,,,,,,,,,,,,3,180,,,,,
,,,,,,,,,,,,5,240,,,,,
,,,,,,,,,,,,8,310,,,,,
,,,,,,,,,,,,12,390,,,,,
,,,,,,,,,,,,17,480,,,,,
,,,,,,,,,,,,23,590,,,,,
