"Name","Speed","FileName","ExportName","ShadowExportName","Homing","HitEffect","Damage","ReducedTowerDamage","Pushback","Radius","VisualRandomRadius","AoeToAir","AoeToGround","DamageType","OnlyEnemies","OnlyOwnTroops","MaximumTargets","Gravity","SpawnAreaEffectObject","SpawnCharacterLevelIndex","SpawnCharacterDeployTime","SpawnCharacter","SpawnCharacterCount","TargetBuff","BuffTime","BuffTimeIncreasePerLevel","TrailEffect","ProjectileRadius","ProjectileRange","use360Frames"
"string","int","string","string","string","boolean","string","int","boolean","int","int","int","boolean","boolean","string","boolean","boolean","int","int","string","int","int","string","int","string","int","int","string","int","int","boolean"
"FireballSpell",600,"sc/level.sc","fireball_projectile1","projectile_arrow_shadow",,"Fireball_explosion",325,"TRUE",1800,2500,,"true","true",,"true",,,50,,,,,,,,,"FireballEmitter",,,
"KingProjectile",850,"sc/level.sc","projectile_cannonball_small",,"true","cannon_hit",50,,,,,,,,"true",,,,,,,,,,,,,,,
"ArcherArrow",400,"sc/level.sc","projectile_arrow_basic_enemy","projectile_arrow_shadow","true","ArrowHit",40,,,,,,,,"true",,,60,,,,,,,,,,,,
"PrincessProjectile",400,"sc/level.sc","projectile_arrow_basic_enemy","projectile_arrow_shadow","true","ArrowHit",50,,,,,,,,"true",,,60,,,,,,,,,,,,
"ArrowsSpell",600,"sc/level.sc","projectile_arrow_basic_enemy","projectile_arrow_shadow","true","ArrowHitGround",110,"TRUE",,4000,,"true","true",,"true",,,50,,,,,,,,,,,,
"ArrowsSpellDeco",600,"sc/level.sc","projectile_arrow_basic_enemy","projectile_arrow_shadow","true","ArrowHitGround",,,,,,"true","true",,"true",,,50,,,,,,,,,,,,
"TowerCannonball",1000,"sc/level.sc","projectile_cannonball_large","projectile_arrow_shadow","true","cannon_hit",60,,,,,,,,"true",,,,,,,,,,,,,,,
"MinionSpit",1000,"sc/level.sc","projectile_cannonball_small","projectile_arrow_shadow","true","ArrowHit",40,,,,,,,,"true",,,,,,,,,,,,,,,
"MortarProjectile",300,"sc/level.sc","catapult_projectile1","projectile_arrow_shadow",,"mortar_hit",200,,,1800,,,"true",,"true",,,60,,,,,,,,,,,,
"WitchProjectile",600,"sc/level.sc","Tower_projectile1",,"true","WizardProjectileHit",32,,,1000,,"true","true",,"true",,,,,,,,,,,,,,,
"BombSkeletonProjectile",300,"sc/level.sc","projectile_bomb","projectile_arrow_shadow",,"BombTower_projectile_hit",100,,,1500,,,"true",,"true",,,200,,,,,,,,,"FireArrowProjectileEmitter",,,
"BombTowerProjectile",300,"sc/level.sc","projectile_bomb","projectile_arrow_shadow",,"BombTower_projectile_hit",120,,,1500,,,"true",,"true",,,200,,,,,,,,,"FireArrowProjectileEmitter",,,
"RocketSpell",350,"sc/level.sc","projectile_rocket","projectile_shadow_rocket",,"Rocket_explosion",650,"TRUE",1800,2000,,"true","true",,"true",,,50,,,,,,,,,"Rocket_Emitter",,,"true"
"GoblinBarrelSpell",400,"sc/spell_goblin_barrel.sc","spell_goblin_barrel_projectile","Barrel_shadow",,"goblin_barrel_explosion",,,,1500,,,"true",,"true",,,40,,6,1300,"Goblin",3,,,,,,,
"MusketeerProjectile",1000,"sc/level.sc","projectile_cannonball_small","projectile_arrow_shadow","true","cannon_hit",140,,,,,,,,"true",,,,,,,,,,,,,,,
"BabyDragonProjectile",500,"sc/level.sc","dragon_projectile","projectile_arrow_shadow","true","dragon_hit",100,,,1200,,"true","true",,"true",,,250,,,,,,,,,"Dragon_Emitter",,,
"chr_wizardProjectile",600,"sc/level.sc","fireball_small",,"true","chr_wizard_projectile_hit",140,,,1200,,"true","true",,"true",,,,,,,,,,,,,,,
"xbow_projectile",1400,"sc/level.sc","projectile_arrow_basic","projectile_arrow_shadow","true","ArrowHit",18,,,,,,,,"true",,,,,,,,,,,,,,,
"LighningSpell",500,,,,,"Spell_lightning_effect",600,"TRUE",,,,,,,"true",,,,,,,,,,,,,,,
"SpearGoblinProjectile",350,"sc/level.sc","projectile_spear_360","projectile_arrow_shadow","true","spear_goblin_projectile_hit",24,,,,,,,,"true",,,150,,,,,,,,,,,,"true"
