"Name","IconFile","UnlockArena","Rarity","ManaCost","NotInUse","Mirror","SummonCharacter","SummonNumber","Radius","RadiusRangeIncrease","Projectile","InstantDamage","DamagePerSecond","DurationSeconds","InstantHeal","HealPerSecond","Effect","DamageType","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CastSound","AreaEffectObject","TID","TID_INFO","TID_FLAVOR"
"string","string","string","string","int","boolean","boolean","string","int","int","int","string","int","int","int","int","int","string","string","int","int","string","int","int","int","string","string","boolean","boolean","string","string","string","string","string"
"Knight","knight","TrainingCamp","Common",3,,,"Knight",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",
"Archer","archers","TrainingCamp","Common",3,,,"Archer",2,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ARCHERS","TID_SPELL_INFO_ARCHERS",
"Goblins","goblins","Arena1","Common",2,,,"Goblin",3,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_GOBLINS","TID_SPELL_INFO_GOBLINS",
"Giant","giant","TrainingCamp","Rare",5,,,"Giant",,,,,,,,,,"CharacterDeploy",,,,,,,,,,"true",,,,"TID_SPELL_GIANT","TID_SPELL_INFO_GIANT",
"Pekka","pekka","Arena4","Epic",8,,,"Pekka",,,,,,,,,,"CharacterDeploy",,,,,,,,,,"true",,,,"TID_SPELL_PEKKA","TID_SPELL_INFO_PEKKA",
"Minions","minion","Arena2","Common",3,,,"Minion",3,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MINIONS","TID_SPELL_INFO_MINIONS",
"Balloon","chr_balloon","Arena2","Epic",4,,,"Balloon",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BALLOON","TID_SPELL_INFO_BALLOON",
"Witch","chr_witch","TrainingCamp","Epic",5,,,"Witch",,,,,,,,,,"CharacterDeploy",,,,,,,,,,"true",,,,"TID_SPELL_WITCH","TID_SPELL_INFO_WITCH",
"Barbarians","barbarians","Arena3","Common",5,,,"Barbarian",4,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BARBARIANS","TID_SPELL_INFO_BARBARIANS",
"Golem","chr_golem","Arena6","Epic",8,,,"Golem",,,,,,,,,,"CharacterDeploy",,,,,,,,,,"true",,,,"TID_SPELL_GOLEM","TID_SPELL_INFO_GOLEM",
"Skeletons","skeletons","Arena2","Common",1,,,"Skeleton",4,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SKELETONS","TID_SPELL_INFO_SKELETONS",
"Valkyrie","valkyrie","Arena1","Rare",4,,,"Valkyrie",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_VALKYRIE","TID_SPELL_INFO_VALKYRIE",
"SkeletonArmy","skeleton_horde","TrainingCamp","Epic",4,,,"Skeleton",20,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SKELETON_HORDE","TID_SPELL_INFO_SKELETON_HORDE",
"Bomber","bomber","TrainingCamp","Common",3,,,"Bomber",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BOMBER","TID_SPELL_INFO_BOMBER",
"Musketeer","musketeer","TrainingCamp","Rare",5,,,"Musketeer",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MUSKETEER","TID_SPELL_INFO_MUSKETEER",
"BabyDragon","baby_dragon","TrainingCamp","Epic",4,,,"BabyDragon",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BABY_DRAGON","TID_SPELL_INFO_BABY_DRAGON",
"MiniPekka","mini_pekka","TrainingCamp","Epic",4,,,"MiniPekka",,,,,,,,,,"CharacterDeploy",,,,,,,,,,"true",,,,"TID_SPELL_MINIPEKKA","TID_SPELL_INFO_MINIPEKKA",
"Wizard","wizard","Arena5","Rare",5,,,"Wizard",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_WIZARD","TID_SPELL_INFO_WIZARD",
"Prince","prince","TrainingCamp","Rare",5,,,"Prince",,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_PRINCE","TID_SPELL_INFO_PRINCE",
"SpearGoblins","goblin_archer","Arena1","Common",2,,,"SpearGoblin",3,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SPEAR_GOBLINS","TID_SPELL_INFO_SPEAR_GOBLINS",
"GiantSkeleton","giant_skeleton","Arena2","Epic",7,,,"GiantSkeleton",1,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_GIANT_SKELETON","TID_SPELL_INFO_GIANT_SKELETON",
"HogRider","hog_rider","Arena4","Rare",4,,,"HogRider",1,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_HOG_RIDER","TID_SPELL_INFO_HOG_RIDER",
"MinionHorde","minion_horde","Arena4","Common",5,,,"Minion",6,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MINION_HORDE","TID_SPELL_INFO_MINION_HORDE",
