"Name","Size","Title","Info","ItemFile","ItemExportName","Count","GameType","PlayerType","Spell","Character","TargetCharacter","Weight","Type","MinArena","MaxArena"
"String","Int","String","String","String","String","Int","String","String","String","String","String","int","String","String","String"
"Hit_Unit_Knight",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",15,"Ladder","1v1",,"Knight",,10,"Hit",,
"Hit_Unit_Bomber",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",23,"Ladder","1v1",,"Bomber",,10,"Hit",,
"Hit_Unit_BlowdartGoblin",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",23,"Ladder","1v1",,"BlowdartGoblin",,10,"Hit",,
"Hit_Unit_Princess",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",23,"Ladder","1v1",,"Princess",,10,"Hit",,
"Hit_Unit_IceWizard",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",31,"Ladder","1v1",,"IceWizard",,10,"Hit",,
"Hit_Unit_Miner",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",11,"Ladder","1v1",,"Miner",,10,"Hit",,
"Hit_Unit_MegaMinion",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",15,"Ladder","1v1",,"MegaMinion",,10,"Hit",,
"Hit_Unit_Mortar",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",17,"Ladder","1v1",,"Mortar",,10,"Hit",,
"Hit_Unit_AngryBarbarians",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",15,"Ladder","1v1",,"AngryBarbarian",,10,"Hit",,
"Hit_Unit_BabyDragon",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",27,"Ladder","1v1",,"BabyDragon",,10,"Hit",,
"Hit_Unit_DarkPrince",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",14,"Ladder","1v1",,"DarkPrince",,10,"Hit",,
"Hit_Unit_RageBarbarian",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",18,"Ladder","1v1",,"RageBarbarian",,10,"Hit",,
"Hit_Unit_MiniPekka",1,"TID_HIT_QUEST","TID_HIT_QUEST_INFO","sc/ui.sc","quest_item_pvp",14,"Ladder","1v1",,"MiniPekka",,10,"Hit",,
