Name,Size,Title,Info,ItemFile,ItemExportName,Count,GameType,PlayerType,Spell,Rarity,Type,MinElixir,MaxElixir,Weight,MinArena,MaxArena
String,Int,String,String,String,String,Int,String,String,String,String,String,Int,Int,int,String,String
Cast_Quest_Common,0,TID_CAST_QUEST_RARITY,TID_CAST_QUEST_RARITY_INFO,sc/ui.sc,quest_item_pvp,60,Ladder,1v1,,Common,,,,100,,
Cast_Quest_Rare,0,TID_CAST_QUEST_RARITY,TID_CAST_QUEST_RARITY_INFO,sc/ui.sc,quest_item_pvp,60,Ladder,1v1,,Rare,,,,100,,
Cast_Quest_Epic,0,TID_CAST_QUEST_RARITY,TID_CAST_QUEST_RARITY_INFO,sc/ui.sc,quest_item_pvp,40,Ladder,1v1,,Epic,,,,100,,
Cast_Quest_Legendary,0,TID_CAST_QUEST_RARITY,TID_CAST_QUEST_RARITY_INFO,sc/ui.sc,quest_item_pvp,40,Ladder,1v1,,Legendary,,,,100,Arena5,
Cast_Quest_Spell,0,TID_CAST_QUEST_SPELL,TID_CAST_QUEST_SPELL_INFO,sc/ui.sc,quest_item_pvp,50,Ladder,1v1,,,Spell,,,100,,
Cast_Quest_Troop,0,TID_CAST_QUEST_TROOP,TID_CAST_QUEST_TROOP_INFO,sc/ui.sc,quest_item_pvp,80,Ladder,1v1,,,Character,,,100,,
Cast_Quest_Building,0,TID_CAST_QUEST_BUILDING,TID_CAST_QUEST_BUILDING_INFO,sc/ui.sc,quest_item_pvp,30,Ladder,1v1,,,Building,,,100,Arena2,
Cast_Quest_LowCost,0,TID_CAST_QUEST_MAX_ELIXIR,TID_CAST_QUEST_MAX_ELIXIR_INFO,sc/ui.sc,quest_item_pvp,50,Ladder,1v1,,,,,2,100,Arena3,
Cast_Quest_HighCost,0,TID_CAST_QUEST_MIN_ELIXIR,TID_CAST_QUEST_MIN_ELIXIR_INFO,sc/ui.sc,quest_item_pvp,30,Ladder,1v1,,,,6,,100,Arena4,
Cast_Quest_Specific_02,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,Skeletons,,,,,1,,
Cast_Quest_Specific_03,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,IceSpirits,,,,,1,,
Cast_Quest_Specific_04,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,Zap,,,,,1,,
