"Name","Size","Title","Info","ItemFile","ItemExportName","GameType","PlayerType","Type","Count","Weight","Spell","MinArena","MaxArena"
"string","int","string","string","string","string","string","String","string","int","int","string","String","String"
"Play_Quest_Play_Ladder_PvP",0,"TID_LADDER_QUEST_PLAY","TID_LADDER_QUEST_PLAY_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Games",10,200,,,
"Play_Quest_Win_2v2Ladder_PvP",0,"TID_LADDER_QUEST_2V2_WIN","TID_LADDER_QUEST_WIN_2V2_INFO","sc/ui.sc","quest_item_pvp","Ladder","2v2","Wins",5,200,,"Arena2",
"Play_Quest_Win_Any_PvP",0,"TID_LADDER_QUEST_WIN_ANY","TID_LADDER_QUEST_WIN_ANY_INFO_2","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",10,200,,"Arena4",
,,,,,,"Survival","2v2",,,,,,
,,,,,,"ClanWar",,,,,,,
"Play_Quest_Win_Combo_001",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Knight","Arena2",
,,,,,,,,,,,"Bomber",,
"Play_Quest_Win_Combo_002",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Giant","Arena2",
,,,,,,,,,,,"Archer",,
"Play_Quest_Win_Combo_003",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"MiniPekka","Arena2",
,,,,,,,,,,,"SkeletonArmy",,
"Play_Quest_Win_Combo_004",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Prince","Arena2",
,,,,,,,,,,,"Valkyrie",,
"Play_Quest_Win_Combo_005",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Prince","Arena2",
,,,,,,,,,,,"Knight",,
"Play_Quest_Win_Combo_006",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Prince","Arena2",
,,,,,,,,,,,"DarkPrince",,
"Play_Quest_Win_Combo_007",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Prince","Arena2",
,,,,,,,,,,,"FireSpirits",,
"Play_Quest_Win_Combo_008",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Giant","Arena2",
,,,,,,,,,,,"Witch",,
"Play_Quest_Win_Combo_009",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Giant","Arena2",
,,,,,,,,,,,"GoblinBarrel",,
"Play_Quest_Win_Combo_010",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Giant","Arena2",
,,,,,,,,,,,"Balloon",,
"Play_Quest_Win_Combo_011",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Giant","Arena2",
,,,,,,,,,,,"ThreeMusketeers",,
"Play_Quest_Win_Combo_012",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Giant","Arena2",
,,,,,,,,,,,"Rage",,
"Play_Quest_Win_Combo_013",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Goblins","Arena2",
,,,,,,,,,,,"Valkyrie",,
"Play_Quest_Win_Combo_014",1,"TID_LADDER_QUEST_WIN_2_CARDS","TID_LADDER_QUEST_WIN_2_CARDS_INFO","sc/ui.sc","quest_item_pvp","Ladder","1v1","Wins",3,2,"Goblins","Arena2",
,,,,,,,,,,,"IceGolemite",,
