"Name","IconSWF","IconFile","UnlockArena","UnlockLevel","Rarity","ManaCost","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin"
"string","string","string","string","int","string","int","boolean","boolean","boolean","int","string","int","int","string","int","int","int","int","int","string","string","int","int","string","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","boolean","String","String","int","boolean","boolean","String","String","int","int","int"
"Cannon",,"chaos_cannon","Arena3",,"Common",3,,,,,"Cannon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_CANNON",,,,,,,,,,,,,
"GoblinHut",,"fire_furnace","Arena1",,"Rare",5,,,,,"GoblinHut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_GOBLIN_HUT","TID_SPELL_INFO_GOBLIN_HUT",,,,,,,,,,,,,
"Mortar",,"building_mortar","Arena6",,"Common",4,,,,,"Mortar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_MORTAR","TID_SPELL_INFO_MORTAR",,,,,,,,,,,,,
"InfernoTower",,"building_inferno","Arena4",,"Rare",5,,,,,"InfernoTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_INFERNO","TID_SPELL_INFO_INFERNO",,,,,,,,,,,,,
"BombTower",,"bomb_tower","Arena2",,"Rare",5,,,,,"BombTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_BOMB_TOWER","TID_SPELL_INFO_BOMB_TOWER",,,,,,,,,,,,,
"BarbarianHut",,"barbarian_hut","Arena3",,"Rare",7,,,,,"BarbarianHut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_BARBARIAN_HUT","TID_SPELL_INFO_BARBARIAN_HUT",,,,,,,,,,,,,
"Tesla",,"building_tesla","Arena4",,"Common",4,,,,,"Tesla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_TESLA","TID_SPELL_INFO_TESLA",,,,,,,,,,,,,
"Elixir Collector",,"building_elixir_collector","Arena6",,"Rare",6,,,,,"ElixirCollector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_ELIXIR_COLLECTOR","TID_SPELL_INFO_ELIXIR_COLLECTOR",,,,,,,,,,,,,
"Xbow",,"building_xbow","Arena3",,"Epic",6,,,,,"Xbow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_XBOW","TID_SPELL_INFO_XBOW",,,,,,,,,,,,,
"Tombstone",,"tombstone","Arena2",,"Rare",3,,,,,"Tombstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_TOMBSTONE","TID_SPELL_INFO_TOMBSTONE",,,,,,,,,,,,,
"FirespiritHut",,"firespirit_hut","Arena5",,"Rare",4,,,,,"FirespiritHut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_FIRE_SPIRIT_HUT","TID_SPELL_INFO_FIRE_SPIRIT_HUT",,,,,,,,,,,,,
"NOTINUSEB3",,"not_in_use","Arena3",,"Common",3,,"TRUE",,,"Cannon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_CANNON",,,,,,,,,,,,,
"NOTINUSESB2",,"not_in_use","Arena3",,"Common",3,,"TRUE",,,"Cannon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_CANNON",,,,,,,,,,,,,
"NOTINUSESB1",,"not_in_use","Arena3",,"Common",3,,"TRUE",,,"Cannon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_CANNON",,,,,,,,,,,,,
