"Name","Start","End","Loop"
"string","int","int","boolean"
"Lightning_shop",90,240,"TRUE"
"Lightning_popup_appear",0,90,
"Lightning_popup_idle",90,240,"TRUE"
"Lightning_popup_quest_closed",0,55,
"Lightning_popup_quest_closed_idle",55,55,"TRUE"
"Lightning_popup_quest_open",0,90,
"Lightning_popup_quest_open_idle",90,90,"TRUE"
"Lightning_open_appear",0,90,
"Lightning_open_idle",90,240,"TRUE"
"Lightning_open_common",240,300,
"Lightning_open_rare",240,300,
"Lightning_open_epic",240,300,
"Lightning_open_legendary",240,300,
"Fortune_shop",90,180,"TRUE"
"Fortune_popup_appear",0,90,
"Fortune_popup_idle",90,180,"TRUE"
"Fortune_open_appear",0,90,
"Fortune_open_idle",90,180,"TRUE"
"Fortune_open_common",180,230,
"Fortune_open_rare",180,230,
"Fortune_open_epic",180,230,
"Fortune_open_legendary",180,230,
"Kings_shop",100,140,"TRUE"
"Kings_popup_appear",0,95,
"Kings_popup_idle",100,140,"TRUE"
"Kings_open_appear",0,95,
"Kings_open_idle",100,140,"TRUE"
"Kings_open_common",140,200,
"Kings_open_rare",140,200,
"Kings_open_epic",140,200,
"Kings_open_legendary",140,200,
"KingsL_shop",100,300,"TRUE"
"KingsL_popup_appear",0,100,
"KingsL_popup_idle",100,300,"TRUE"
"KingsL_popup_quest_closed",422,700,
"KingsL_popup_quest_closed_idle",558,700,"TRUE"
"KingsL_popup_quest_open",0,300,
"KingsL_popup_quest_open_idle",100,300,"TRUE"
"KingsL_open_appear",0,100,
"KingsL_open_idle",100,300,"TRUE"
"KingsL_open_common",300,420,
"KingsL_open_rare",300,420,
"KingsL_open_epic",300,420,
"KingsL_open_legendary",300,420,
