Name,Dummy
String,String
_AU,
_NA,
_AF,
_INT,
_SA,
_EU,
_AS,
AL,
DZ,
AF,
AR,
AE,
AW,
OM,
AC,
EG,
IE,
EE,
AD,
AG,
AO,
AI,
AT,
AX,
AU,
MO,
BB,
PG,
BS,
PK,
PY,
PS,
BH,
PA,
BR,
BY,
BM,
BG,
KP,
MP,
BZ,
BJ,
BE,
IS,
PR,
PL,
BA,
BW,
BO,
PW,
BT,
BF,
BV,
TD,
GQ,
TA,
DK,
DE,
DG,
TL,
TO,
TG,
DM,
DO,
RU,
EC,
ER,
FR,
FO,
PF,
GF,
TF,
VA,
PH,
FJ,
FI,
FK,
GY,
GM,
CD,
CG,
CO,
CR,
GL,
GD,
KM,
GG,
CU,
CW,
GP,
GT,
GU,
KZ,
HT,
NL,
BQ,
SX,
HM,
HN,
DJ,
KG,
KI,
GN,
GW,
CA,
IC,
GA,
GH,
KH,
CZ,
CM,
QA,
KY,
CC,
XK,
KW,
HR,
KE,
CK,
LV,
LR,
LS,
LB,
LT,
LY,
LA,
LI,
RE,
RW,
LU,
RO,
MG,
MQ,
MV,
MT,
MW,
MY,
ML,
MK,
MH,
YT,
IM,
MR,
US,
UM,
AS,
VI,
MN,
ME,
MS,
BD,
PE,
FM,
MM,
MU,
MD,
MA,
MC,
MZ,
MX,
NA,
NG,
ZA,
KR,
AQ,
SS,
NP,
NI,
NE,
NU,
NZ,
NO,
NF,
NR,
PN,
PT,
BI,
TT,
GE,
JP,
SE,
CH,
SV,
WS,
RS,
SN,
SC,
CY,
SA,
ZM,
BL,
CX,
ST,
SH,
KN,
LC,
MF,
SM,
PM,
VC,
SL,
SZ,
LK,
SK,
SI,
SJ,
SD,
SR,
SB,
SO,
TJ,
TW,
TH,
TZ,
TN,
TR,
TC,
TM,
TV,
TK,
WF,
VU,
CV,
VE,
BN,
UG,
UA,
UY,
UZ,
ES,
EH,
GR,
HK,
CI,
ZW,
SG,
NC,
HU,
EA,
SY,
JM,
AM,
AZ,
YE,
IQ,
IR,
ET,
IL,
IT,
IN,
ID,
GB,
VG,
IO,
JO,
VN,
JE,
GI,
CL,
CF,
CN,
